Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Random Forest Classifier,0.8655,0.9332,0.7954,0.844,0.8187,0.712,0.7131,0.11
Extreme Gradient Boosting,0.8665,0.9311,0.8125,0.8346,0.823,0.7159,0.7164,0.21
Extra Trees Classifier,0.8631,0.928,0.7949,0.8386,0.816,0.7072,0.708,0.094
CatBoost Classifier,0.856,0.9247,0.7974,0.8215,0.8089,0.6935,0.6941,0.724
Light Gradient Boosting Machine,0.8508,0.9209,0.7901,0.8143,0.8018,0.6822,0.6827,0.49
Gradient Boosting Classifier,0.8419,0.9122,0.7818,0.8007,0.7908,0.6638,0.6643,0.126
Ada Boost Classifier,0.824,0.8991,0.7389,0.788,0.7622,0.6228,0.6241,0.064
Ridge Classifier,0.8106,0.899,0.5791,0.8861,0.7004,0.5706,0.5983,0.018
Linear Discriminant Analysis,0.81,0.8988,0.5806,0.8824,0.7003,0.5697,0.5965,0.024
Logistic Regression,0.8247,0.8979,0.6678,0.8413,0.7444,0.6138,0.6234,0.94
K Neighbors Classifier,0.8149,0.8669,0.7141,0.7829,0.7468,0.6014,0.6031,0.636
Naive Bayes,0.5545,0.866,0.9459,0.46,0.6189,0.2149,0.3061,0.022
SVM - Linear Kernel,0.7646,0.8545,0.7545,0.6982,0.712,0.5174,0.5357,0.02
Decision Tree Classifier,0.7806,0.7693,0.7214,0.71,0.7155,0.537,0.5372,0.03
Quadratic Discriminant Analysis,0.5731,0.6132,0.2654,0.4011,0.2896,0.0276,0.0302,0.022
Dummy Classifier,0.6176,0.5,0.0,0.0,0.0,0.0,0.0,0.032
